number	organism name	kingdom	phylum	class	file	accession number	sequences	base pair	DIV	submitted	updated	BioProject	BioSample	SRA
1474	Hevea brasiliensis	Viridiplantae	Streptophyta	None	GDFU.gz	GDFU01000001-GDFU01112702	112702	80347241	TSA	2015-06-19	2017-03-29	PRJNA281775	SAMN00254193	SRR167696
1475	Neomysis awatschensis	Metazoa	Arthropoda	Malacostraca	GDFV.gz	GDFV01000001-GDFV01022141	22141	14999154	TSA	2015-06-19	2016-04-18	PRJNA287057	SAMN03782445	SRR2070625
1476	Tigriopus sp. 1 SL-2012	None	None	None	GDFW.gz	GDFW01000001-GDFW01038250	38250	36497199	TSA	2015-06-19	2016-04-18	PRJNA283925	SAMN03703403	SRR2034718
1477	Corollospora maritima	Fungi	Ascomycota	Sordariomycetes	GDFX.gz	GDFX01000001-GDFX01014530	14530	16265259	TSA	2015-06-20	2015-07-02	PRJNA274818	SAMN03332977	SRR1793202
1478	Aethionema arabicum	Viridiplantae	Streptophyta	None	GDFY.gz	GDFY01000001-GDFY01000706	706	747705	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761935	
1479	Cleome violacea	Viridiplantae	Streptophyta	None	GDFZ.gz	GDFZ01000001-GDFZ01000871	871	1036206	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761936	
1480	Capparis spinosa	Viridiplantae	Streptophyta	None	GDGA.gz	GDGA01000001-GDGA01000828	828	1269177	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761937	
1481	Koeberlinia spinosa	Viridiplantae	Streptophyta	None	GDGB.gz	GDGB01000001-GDGB01000742	742	832699	TSA	2015-06-06	2015-07-10	PRJNA283303	SAMN03761942	
1482	Batis maritima	Viridiplantae	Streptophyta	None	GDGC.gz	GDGC01000001-GDGC01000900	900	1273776	TSA	2015-06-06	2015-07-10	PRJNA283303	SAMN03761943	
1483	Gyrostemon ramulosus	Viridiplantae	Streptophyta	None	GDGD.gz	GDGD01000001-GDGD01000165	165	56427	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761939	
1484	Reseda odorata	Viridiplantae	Streptophyta	None	GDGE.gz	GDGE01000001-GDGE01000735	735	813261	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761940	
1485	Limnanthes douglasii	Viridiplantae	Streptophyta	None	GDGF.gz	GDGF01000001-GDGF01000756	756	781261	TSA	2015-06-06	2015-07-10	PRJNA283303	SAMN03761944	
1486	Akania bidwillii	Viridiplantae	Streptophyta	None	GDGG.gz	GDGG01000001-GDGG01000740	740	944729	TSA	2015-06-06	2015-07-10	PRJNA283303	SAMN03761946	
1487	Zenia insignis	Viridiplantae	Streptophyta	None	GDGH.gz	GDGH01000001-GDGH01094470	94470	68651362	TSA	2015-06-06	2015-06-30	PRJNA285444	SAMN03753902	SRR2047024
1488	Aethionema arabicum	Viridiplantae	Streptophyta	None	GDGI.gz	GDGI01000001-GDGI01000686	686	584527	TSA	2015-06-06	2015-07-09	PRJNA283303	SAMN03761934	
1489	Pentadiplandra brazzeana	Viridiplantae	Streptophyta	None	GDGJ.gz	GDGJ01000001-GDGJ01000769	769	885313	TSA	2015-06-21	2015-07-09	PRJNA283303	SAMN03761938	
1490	Emblingia calceoliflora	Viridiplantae	Streptophyta	None	GDGK.gz	GDGK01000001-GDGK01000319	319	134464	TSA	2015-06-21	2015-07-09	PRJNA283303	SAMN03761941	
1491	Moringa oleifera	Viridiplantae	Streptophyta	None	GDGL.gz	GDGL01000001-GDGL01000951	951	1435955	TSA	2015-06-21	2015-07-10	PRJNA283303	SAMN03761945	
1492	Ptychodera flava	Metazoa	Hemichordata	Enteropneusta	GDGM.gz	GDGM01000001-GDGM01508244	508244	508674203	TSA	2015-06-17	2015-07-01	PRJNA284280	SAMN03701691	SRR2033704
1493	Amyelois transitella	Metazoa	Arthropoda	Insecta	GDGN.gz	GDGN01000001-GDGN01093073	93073	116381533	TSA	2015-06-22	2015-06-26	PRJNA259890	SAMN03013884	SRR1564143
1494	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGO.gz	GDGO01000001-GDGO01062548	62548	26302251	TSA	2015-06-23	2015-07-27	PRJNA272154	SAMN03610106	SRR2032220
1495	Oryzias melastigma	Metazoa	Chordata	Actinopteri	GDGP.gz	GDGP01000001-GDGP01056857	56857	72630928	TSA	2015-06-25	2015-07-10	PRJNA268138	SAMN03203472	SRR1658869
1496	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGQ.gz	GDGQ01000001-GDGQ01118285	118285	65066721	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610103	SRR2032211
1497	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGR.gz	GDGR01000001-GDGR01078214	78214	34691772	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610109	SRR2032237
1498	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGS.gz	GDGS01000001-GDGS01081601	81601	37274038	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610112	SRR2032223
1499	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGT.gz	GDGT01000001-GDGT01109660	109660	58926202	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610121	SRR2032244
1500	Nicotiana tabacum	Viridiplantae	Streptophyta	None	GDGU.gz	GDGU01000001-GDGU01225815	225815	314513409	TSA	2015-06-23	2016-08-02	PRJNA285004	SAMN03734873	SRR961212
1501	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGV.gz	GDGV01000001-GDGV01144887	144887	90988168	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610115	SRR2032226
1502	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGW.gz	GDGW01000001-GDGW01160545	160545	97832257	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610118	SRR2032241
1503	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGX.gz	GDGX01000001-GDGX01094794	94794	44807140	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610127	SRR2032230
1504	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGY.gz	GDGY01000001-GDGY01222729	222729	124004076	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610130	SRR2032247
1505	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDGZ.gz	GDGZ01000001-GDGZ01109164	109164	55472327	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610133	SRR2032233
1506	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHA.gz	GDHA01000001-GDHA01141611	141611	78303739	TSA	2015-06-24	2015-07-27	PRJNA272154	SAMN03610124	SRR2032227
1507	Hevea brasiliensis	Viridiplantae	Streptophyta	None	GDHB.gz	GDHB01000001-GDHB01047423	47423	21971169	TSA	2015-07-01	2016-07-25	PRJNA283929	SAMN03704953	SRR2063947
1508	Lygus hesperus	Metazoa	Arthropoda	Insecta	GDHC.gz	GDHC01000001-GDHC01022022	22022	45687929	TSA	2015-06-30	2016-03-16	PRJNA284294	SAMN01831325	SRR1186295
1509	Cymbidium faberi	Viridiplantae	Streptophyta	Liliopsida	GDHD.gz	GDHD01000001-GDHD01158048	158048	115735869	TSA	2015-06-19	2015-07-10	PRJNA281138	SAMN03453585	SRR2049023
1510	Bactrocera latifrons	Metazoa	Arthropoda	Insecta	GDHF.gz	GDHF01000001-GDHF01034079	34079	93529874	TSA	2015-06-30	2015-07-13	PRJNA281765	SAMN03566187	SRR1993646
1511	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHG.gz	GDHG01000001-GDHG01089439	89439	61298200	TSA	2015-07-01	2015-07-27	PRJNA272154	SAMN03610093	SRR2032206
1512	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHH.gz	GDHH01000001-GDHH01179347	179347	109500400	TSA	2015-07-01	2015-07-27	PRJNA272154	SAMN03610136	SRR2032236
1513	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHI.gz	GDHI01000001-GDHI01184089	184089	112382049	TSA	2015-07-01	2015-07-27	PRJNA272154	SAMN03610139	SRR2032251
1514	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHP.gz	GDHP01000001-GDHP01121079	121079	85328812	TSA	2015-07-01	2015-07-27	PRJNA272154	SAMN03610086	SRR2032203
1515	Polistes metricus	Metazoa	Arthropoda	Insecta	GDHQ.gz	GDHQ01000001-GDHQ01127403	127403	118635694	TSA	2015-07-02	2015-07-13	PRJNA287152	SAMN03776881	SRR2064689
1516	Luffa aegyptiaca	Viridiplantae	Streptophyta	None	GDHR.gz	GDHR01000001-GDHR01101032	101032	88556979	TSA	2015-06-09	2016-06-06	PRJNA284862	SAMN03733596	SRR2040683
1517	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHS.gz	GDHS01000001-GDHS01390064	390064	240010226	TSA	2015-07-10	2015-07-28	PRJNA272154	SAMN03610148	SRR2032174
1518	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHT.gz	GDHT01000001-GDHT01358662	358662	238084955	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610160	SRR2032184
1519	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHU.gz	GDHU01000001-GDHU01416435	416435	274579160	TSA	2015-07-10	2015-07-27	PRJNA272154	SAMN03610154	SRR2032177
1520	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHV.gz	GDHV01000001-GDHV01277267	277267	182661632	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610176	SRR2032267
1521	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHW.gz	GDHW01000001-GDHW01277209	277209	189277468	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610192	SRR2032259
1522	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHX.gz	GDHX01000001-GDHX01322053	322053	211462920	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610196	SRR2032261
1523	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHY.gz	GDHY01000001-GDHY01244353	244353	177179069	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610180	SRR2032271
1524	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDHZ.gz	GDHZ01000001-GDHZ01253105	253105	165715932	TSA	2015-07-13	2015-07-27	PRJNA272154	SAMN03610166	SRR2032190
1525	Rapana venosa	Metazoa	Mollusca	Gastropoda	GDIA.gz	GDIA01000001-GDIA01246627	246627	169741352	TSA	2015-07-14	2016-04-21	PRJNA288836	SAMN03839030	SRR2086477
1526	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDIB.gz	GDIB01000001-GDIB01275849	275849	193582810	TSA	2015-07-14	2015-07-27	PRJNA272154	SAMN03610142	SRR2032173
1527	Ornithodoros turicata	Metazoa	Arthropoda	Arachnida	GDIC.gz	GDIC01000001-GDIC01067553	67553	43114332	TSA	2015-07-13	2015-10-05	PRJNA281459	SAMN03569137	SRR2033925
1528	Trepomonas sp. PC1	None	None	None	GDID.gz	GDID01000001-GDID01007980	7980	9931868	TSA	2015-07-15	2016-03-16	PRJNA288252	SAMN03797426	SRR2079337
1529	Ornithodoros turicata	Metazoa	Arthropoda	Arachnida	GDIE.gz	GDIE01000001-GDIE01130500	130500	57607867	TSA	2015-07-14	2015-09-03	PRJNA281459	SAMN03569137	SRR2033925
1530	Acropora hyacinthus	Metazoa	Cnidaria	Anthozoa	GDIF.gz	GDIF01000001-GDIF01039984	39984	14970788	TSA	2015-07-14	2015-07-29	PRJNA177515	SAMN01816467	SRR629089
1531	Trichosanthes kirilowii	Viridiplantae	Streptophyta	None	GDIG.gz	GDIG01000001-GDIG01067292	67292	58522866	TSA	2015-07-16	2016-08-02	PRJNA288625	SAMN03835257	SRR2084104
1532	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDIH.gz	GDIH01000001-GDIH01214492	214492	155599737	TSA	2015-07-14	2015-07-27	PRJNA272154	SAMN03610172	SRR2032263
1533	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDII.gz	GDII01000001-GDII01425881	425881	288932676	TSA	2015-07-16	2015-07-27	PRJNA272154	SAMN03610184	SRR2032275
1534	Silene conica	Viridiplantae	Streptophyta	None	GDIJ.gz	GDIJ01000001-GDIJ01078575	78575	43018981	TSA	2015-07-15	2015-07-29	PRJNA289152	SAMN03843845	SRR2090183
1535	Mycosphaerella eumusae	Fungi	Ascomycota	Dothideomycetes	GDIK.gz	GDIK01000001-GDIK01024359	24359	67227961	TSA	2015-07-16	2016-02-23	PRJNA289096	SAMN03846658	SRR2093556
1536	Cucumis sativus	Viridiplantae	Streptophyta	None	GDIL.gz	GDIL01000001-GDIL01050751	50751	49544951	TSA	2015-07-16	2015-07-27	PRJNA169904	SAMN01085195	SRR1197968
1537	Stomoxys calcitrans	Metazoa	Arthropoda	Insecta	GDIM.gz	GDIM01000001-GDIM01051432	51432	59550049	TSA	2015-07-19	2015-07-24	PRJNA188117	SAMN03840662	SRR1976146
1538	Pseudocercospora musae	Fungi	Ascomycota	Dothideomycetes	GDIN.gz	GDIN01000001-GDIN01037938	37938	216055970	TSA	2015-07-17	2016-02-23	PRJNA289098	SAMN03846657	SRR2093567
1539	Locusta migratoria manilensis	Metazoa	Arthropoda	Insecta	GDIO.gz	GDIO01000001-GDIO01050791	50791	46444654	TSA	2015-07-16	2016-07-05	PRJNA283919	SAMN03704890	SRR2037082
1540	Daphnia magna	Metazoa	Arthropoda	Branchiopoda	GDIP.gz	GDIP01000001-GDIP01255355	255355	554792750	TSA	2015-10-14	2015-10-26	PRJNA284518	SAMN03765627	SRR2062779
1541	Daphnia magna	Metazoa	Arthropoda	Branchiopoda	GDIQ.gz	GDIQ01000001-GDIQ01271331	271331	623115894	TSA	2015-10-20	2015-10-26	PRJNA284518	SAMN03765626	SRR2062534
1542	Silene conica	Viridiplantae	Streptophyta	None	GDIR.gz	GDIR01000001-GDIR01072811	72811	71478569	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844705	SRR2093554
1543	Silene conica	Viridiplantae	Streptophyta	None	GDIS.gz	GDIS01000001-GDIS01064870	64870	65765471	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844708	SRR2093561
1544	Silene conica	Viridiplantae	Streptophyta	None	GDIT.gz	GDIT01000001-GDIT01074674	74674	73145873	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846650	SRR2093573
1545	Austrofundulus limnaeus	Metazoa	Chordata	Actinopteri	GDIU.gz	GDIU01000001-GDIU01425716	425716	289054001	TSA	2015-07-19	2015-07-27	PRJNA272154	SAMN03610188	SRR2032279
1546	Silene conica	Viridiplantae	Streptophyta	None	GDIV.gz	GDIV01000001-GDIV01072511	72511	68899569	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03843846	SRR2093547
1547	Silene conica	Viridiplantae	Streptophyta	None	GDIW.gz	GDIW01000001-GDIW01074046	74046	70550315	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03843847	SRR2093548
1548	Silene conica	Viridiplantae	Streptophyta	None	GDIX.gz	GDIX01000001-GDIX01071049	71049	70840316	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03843850	SRR2093551
1549	Silene conica	Viridiplantae	Streptophyta	None	GDIY.gz	GDIY01000001-GDIY01065843	65843	64439203	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846653	SRR2093626
1550	Silene conica	Viridiplantae	Streptophyta	None	GDIZ.gz	GDIZ01000001-GDIZ01070664	70664	70141557	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846654	SRR2093650
1551	Silene conica	Viridiplantae	Streptophyta	None	GDJA.gz	GDJA01000001-GDJA01076441	76441	72220755	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846655	SRR2093676
1552	Silene conica	Viridiplantae	Streptophyta	None	GDJB.gz	GDJB01000001-GDJB01073964	73964	73877916	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03845715	SRR2090193
1553	Silene conica	Viridiplantae	Streptophyta	None	GDJC.gz	GDJC01000001-GDJC01063176	63176	63117786	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03845717	SRR2092336
1554	Silene conica	Viridiplantae	Streptophyta	None	GDJD.gz	GDJD01000001-GDJD01074819	74819	71538855	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03843849	SRR2093550
1555	Silene conica	Viridiplantae	Streptophyta	None	GDJE.gz	GDJE01000001-GDJE01066502	66502	66477168	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844703	SRR2093552
1556	Silene conica	Viridiplantae	Streptophyta	None	GDJF.gz	GDJF01000001-GDJF01069334	69334	67678043	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844704	SRR2093553
1557	Silene conica	Viridiplantae	Streptophyta	None	GDJG.gz	GDJG01000001-GDJG01075584	75584	72287866	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844706	SRR2093555
1558	Silene conica	Viridiplantae	Streptophyta	None	GDJH.gz	GDJH01000001-GDJH01074093	74093	73337425	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03844707	SRR2093557
1559	Silene conica	Viridiplantae	Streptophyta	None	GDJI.gz	GDJI01000001-GDJI01064425	64425	64320351	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846649	SRR2093572
1560	Silene conica	Viridiplantae	Streptophyta	None	GDJJ.gz	GDJJ01000001-GDJJ01073613	73613	73348524	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846652	SRR2093608
1561	Silene conica	Viridiplantae	Streptophyta	None	GDJK.gz	GDJK01000001-GDJK01078843	78843	73619700	TSA	2015-07-17	2015-07-29	PRJNA289152	SAMN03846651	SRR2093589
1562	Silene macrodonta	Viridiplantae	Streptophyta	None	GDJL.gz	GDJL01000001-GDJL01063430	63430	32337984	TSA	2015-07-20	2015-07-29	PRJNA289152	SAMN03846656	SRR2093712
1563	Cotesia rubecula	Metazoa	Arthropoda	Insecta	GDJM.gz	GDJM01000001-GDJM01038830	38830	85930017	TSA	2015-07-21	2015-11-09	PRJNA289731	SAMN03857491	SRR2105806
1564	Ascochyta rabiei	Fungi	Ascomycota	Dothideomycetes	GDJN.gz	GDJN01000001-GDJN01022725	22725	26782540	TSA	2015-07-22	2015-11-13	PRJNA288273	SAMN03835260	SRR2086513
1565	Cotesia glomerata	Metazoa	Arthropoda	Insecta	GDJO.gz	GDJO01000001-GDJO01041146	41146	84148260	TSA	2015-07-21	2017-03-29	PRJNA289655	SAMN03856543	SRR2105773
1566	Cotesia rubecula bracovirus	None	None	None	GDJP.gz	GDJP01000001-GDJP01000011	11	13312	TSA	2015-07-21	2015-11-09	PRJNA289731	SAMN03892806	SRR2105806
1567	Cotesia glomerata bracovirus	None	None	None	GDJQ.gz	GDJQ01000001-GDJQ01000010	10	19953	TSA	2015-07-22	2015-11-09	PRJNA289655	SAMN03892807	SRR2105773
1568	Euglena gracilis	None	Euglenida	None	GDJR.gz	GDJR01000001-GDJR01113152	113152	122976775	TSA	2015-07-23	2016-03-08	PRJNA289402	SAMN03856028	SRR2094880
1569	Bubalus bubalis	Metazoa	Chordata	Mammalia	GDJS.gz	GDJS01000001-GDJS01086017	86017	83646050	TSA	2015-07-23	2016-03-17	PRJNA289559	SAMN03855787	
1570	Pisum sativum	Viridiplantae	Streptophyta	None	GDJT.gz	GDJT01000001-GDJT01006048	6048	4170533	TSA	2015-07-29	2016-04-05	PRJNA288408	SAMN03846793	SRR2089734
1571	Pisum sativum	Viridiplantae	Streptophyta	None	GDJU.gz	GDJU01000001-GDJU01006693	6693	4716063	TSA	2015-07-29	2016-04-05	PRJNA288408	SAMN03846794	SRR2089735
1572	Pisum sativum	Viridiplantae	Streptophyta	None	GDJV.gz	GDJV01000001-GDJV01002635	2635	1713447	TSA	2015-07-29	2016-04-05	PRJNA288408	SAMN03846795	SRR2089736
1573	Pisum sativum	Viridiplantae	Streptophyta	None	GDJW.gz	GDJW01000001-GDJW01004429	4429	3076630	TSA	2015-07-29	2016-04-05	PRJNA288408	SAMN03846796	SRR2089737
1574	Anthurium amnicola	Viridiplantae	Streptophyta	Liliopsida	GDJX.gz	GDJX01000001-GDJX01027959	27959	52452095	TSA	2015-07-30	2016-09-08	PRJNA288827	SAMN03839010	SRR2087900
1575	Lingula anatina	Metazoa	Brachiopoda	Lingulata	GDJY.gz	GDJY01000001-GDJY01047876	47876	101221438	TSA	2015-07-30	2015-09-21	PRJNA286275	SAMN03938718	SRR2131217
1576	Pisum sativum	Viridiplantae	Streptophyta	None	GDJZ.gz	GDJZ01000001-GDJZ01005547	5547	3822703	TSA	2015-07-29	2015-08-10	PRJNA288408	SAMN03846798	SRR2089738
1577	Rhynchophorus ferrugineus	Metazoa	Arthropoda	Insecta	GDKA.gz	GDKA01000001-GDKA01035241	35241	30476589	TSA	2015-08-01	2016-02-11	PRJNA275430	SAMN03344737	SRR1803624
1578	Cydia pomonella	Metazoa	Arthropoda	Insecta	GDKB.gz	GDKB01000001-GDKB01000059	59	82414	TSA	2015-08-03	2016-01-14	PRJNA289066	SAMN03840883	SRR2089353
1579	Ficus carica	Viridiplantae	Streptophyta	None	GDKC.gz	GDKC01000001-GDKC01032970	32970	26985051	TSA	2015-08-03	2016-08-09	PRJNA289240	SAMN03847041	SRR2090145
1580	Cuscuta reflexa	Viridiplantae	Streptophyta	None	GDKD.gz	GDKD01000001-GDKD01041697	41697	32242149	TSA	2015-08-06	2015-11-16	PRJNA290291	SAMN03879961	SRR2142348
1581	Cuscuta gronovii	Viridiplantae	Streptophyta	None	GDKE.gz	GDKE01000001-GDKE01031130	31130	22982928	TSA	2015-08-06	2015-11-16	PRJNA291830	SAMN03955859	SRR2143215
1582	Auxenochlorella protothecoides	Viridiplantae	Chlorophyta	Trebouxiophyceae	GDKF.gz	GDKF01000001-GDKF01010686	10686	20903175	TSA	2015-08-06	2016-09-08	PRJNA289168	SAMN03846662	SRR2089718
1583	Bixa orellana	Viridiplantae	Streptophyta	None	GDKG.gz	GDKG01000001-GDKG01052515	52515	99143516	TSA	2015-07-29	2015-11-04	PRJNA290519	SAMN03892718	SRR2131178
1584	Voromonas pontica	None	None	None	GDKH.gz	GDKH01000001-GDKH01029260	29260	11820833	TSA	2015-08-10	2015-08-17	PRJNA279879	SAMN03451136	SRR1946843
1585	Colpodella edax	None	None	None	GDKI.gz	GDKI01000001-GDKI01049869	49869	21829405	TSA	2015-08-10	2015-08-17	PRJNA279880	SAMN03451139	SRR1947720
1586	Colpodella angusta	None	None	None	GDKJ.gz	GDKJ01000001-GDKJ01065099	65099	42536599	TSA	2015-08-10	2015-08-17	PRJNA279882	SAMN03451138	SRR1946840
1587	Colpodella angusta	None	None	None	GDKK.gz	GDKK01000001-GDKK01079324	79324	41420671	TSA	2015-08-11	2015-08-17	PRJNA279881	SAMN03451137	SRR1946836
1588	Salvia pomifera	Viridiplantae	Streptophyta	None	GDKL.gz	GDKL01000001-GDKL01065974	65974	42264336	TSA	2015-08-11	2016-08-02	PRJNA292070	SAMN03968470	SRR2136651
1589	Oryza sativa Indica Group	Viridiplantae	Streptophyta	Liliopsida	GDKM.gz	GDKM01000001-GDKM01024837	24837	22120701	TSA	2015-08-13	2015-12-23	PRJNA286071	SAMN03764505	SRR2087946
1590	Arachis hypogaea	Viridiplantae	Streptophyta	None	GDKN.gz	GDKN01000001-GDKN01102303	102303	129918697	TSA	2015-08-13	2015-11-02	PRJNA291488	SAMN03944933	SRR2135539
1591	Marmota monax	Metazoa	Chordata	Mammalia	GDKO.gz	GDKO01000001-GDKO01218355	218355	343283806	TSA	2015-08-18	2015-08-19	PRJNA291589	SAMN03976054	SRR2136852
1592	Oncorhynchus mykiss	Metazoa	Chordata	Actinopteri	GDKP.gz	GDKP01000001-GDKP01054759	54759	24380108	TSA	2015-08-07	2015-08-26	PRJNA209213	SAMN03944034	SRR2134873
1593	Nicrophorus vespilloides	Metazoa	Arthropoda	Insecta	GDKQ.gz	GDKQ01000001-GDKQ01017019	17019	35402195	TSA	2015-08-19	2015-08-20	PRJNA285436	SAMN03753827	SRR2086504
1594	Trichobilharzia regenti	Metazoa	Platyhelminthes	Trematoda	GDKR.gz	GDKR01000001-GDKR01013754	13754	35851188	TSA	2015-08-19	2016-01-11	PRJNA292737	SAMN03997288	SRR2170925
1595	Anopheles sinensis	Metazoa	Arthropoda	Insecta	GDKS.gz	GDKS01000001-GDKS01045217	45217	24534251	TSA	2015-08-25	2015-08-26	PRJNA293400	SAMN04002516	SRR2179943
1596	Vigna unguiculata subsp. sesquipedalis	Viridiplantae	Streptophyta	None	GDKT.gz	GDKT01000001-GDKT01085120	85120	55576645	TSA	2015-08-22	2016-03-31	PRJNA290938	SAMN03923016	SRR2135042
1597	Thamnophis sirtalis	Metazoa	Chordata	None	GDKU.gz	GDKU01000001-GDKU01125940	125940	95293497	TSA	2015-08-20	2015-09-01	PRJNA290790	SAMN03897508	SRR805129
1598	Macropisthodon rudis	Metazoa	Chordata	None	GDKV.gz	GDKV01000001-GDKV01056935	56935	33143580	TSA	2015-08-21	2017-01-03	PRJNA291694	SAMN03997505	SRR2170983
1599	Rhodnius neglectus	Metazoa	Arthropoda	Insecta	GDKW.gz	GDKW01000001-GDKW01004230	4230	4920587	TSA	2015-09-03	2015-09-04	PRJNA292130	SAMN03975952	SRR2157971
1600	Choanocystis sp. FB-2015	None	None	None	GDKX.gz	GDKX01000001-GDKX01066525	66525	58528949	TSA	2015-08-24	2016-09-08	PRJNA293113	SAMN03997107	SRR2170626
1601	Asellus aquaticus	Metazoa	Arthropoda	Malacostraca	GDKY.gz	GDKY01000001-GDKY01021684	21684	11582160	TSA	2015-08-11	2015-09-01	PRJNA270761	SAMN03268597	SRR1097283
1602	Larinus minutus	Metazoa	Arthropoda	Insecta	GDLA.gz	GDLA01000001-GDLA01029721	29721	29051548	TSA	2015-08-19	2017-10-06	PRJNA286543	SAMN03799587	SRR2083683
1603	Hypocaccus fitchi	Metazoa	Arthropoda	Insecta	GDLI.gz	GDLI01000001-GDLI01020334	20334	16897738	TSA	2015-08-24	2017-10-06	PRJNA286537	SAMN03799581	SRR2083677
1604	Anorus arizonicus	Metazoa	Arthropoda	Insecta	GDLJ.gz	GDLJ01000001-GDLJ01022370	22370	25553744	TSA	2015-08-24	2017-10-06	PRJNA286485	SAMN03799530	SRR2083626
1605	Paragymnomerus spiricornis	Metazoa	Arthropoda	Insecta	GDLP.gz	GDLP01000001-GDLP01023109	23109	26071259	TSA	2015-08-25	2018-02-12	PRJNA286601	SAMN03799646	SRR2083568
1606	Hypothenemus hampei	Metazoa	Arthropoda	Insecta	GDLS.gz	GDLS01000001-GDLS01017132	17132	15181674	TSA	2015-08-25	2015-08-26	PRJNA279497	SAMN03448479	SRR2163439
1607	Tectona grandis	Viridiplantae	Streptophyta	None	GDLT.gz	GDLT01000001-GDLT01002413	2413	6225669	TSA	2015-08-25	2015-09-18	PRJNA287604	SAMN03784591	SRR2080131
1608	Rigidoporus microporus	Fungi	Basidiomycota	Agaricomycetes	GDMN.gz	GDMN01000001-GDMN01034441	34441	75102900	TSA	2015-08-29	2016-03-21	PRJNA293866	SAMN04011630	SRR2187435
1609	Dryops sp. AD-2015	Metazoa	Arthropoda	Insecta	GDMY.gz	GDMY01000001-GDMY01030332	30332	32506637	TSA	2015-08-28	2017-10-06	PRJNA286519	SAMN03799563	SRR2083659
